symbol,date,equity
BBDC4.SA,2024-04-24,988.8358123388947
BBDC4.SA,2024-04-25,988.1957976904572
BBDC4.SA,2024-04-26,1002.275814780301
BBDC4.SA,2024-04-29,1013.795834311551
BBDC4.SA,2024-04-30,1009.9558074560822
BBDC4.SA,2024-05-02,999.7158172217072
BBDC4.SA,2024-05-03,995.8757903662384
BBDC4.SA,2024-05-06,995.2358367529572
BBDC4.SA,2024-05-07,995.2358367529572
BBDC4.SA,2024-05-08,997.1558196631134
BBDC4.SA,2024-05-09,974.755795249051
BBDC4.SA,2024-05-10,969.6358001318634
BBDC4.SA,2024-05-13,973.4758269873322
BBDC4.SA,2024-05-14,972.8358123388947
BBDC4.SA,2024-05-15,964.515805014676
BBDC4.SA,2024-05-16,968.995785483426
BBDC4.SA,2024-05-17,973.4758269873322
BBDC4.SA,2024-05-20,967.0758025732697
BBDC4.SA,2024-05-21,971.5557830420197
BBDC4.SA,2024-05-22,952.3558318701447
BBDC4.SA,2024-05-23,938.275814780301
BBDC4.SA,2024-05-24,944.035824545926
BBDC4.SA,2024-05-27,941.4758269873322
BBDC4.SA,2024-05-28,940.8358123388947
BBDC4.SA,2024-05-29,932.515805014676
BBDC4.SA,2024-05-31,924.8358123388947
BBDC4.SA,2024-06-03,929.9558074560822
BBDC4.SA,2024-06-04,936.3558318701447
BBDC4.SA,2024-06-05,931.8757903662384
BBDC4.SA,2024-06-06,949.1558196631134
BBDC4.SA,2024-06-07,942.755795249051
BBDC4.SA,2024-06-10,936.995785483426
BBDC4.SA,2024-06-11,941.4758269873322
BBDC4.SA,2024-06-12,926.1157806006134
BBDC4.SA,2024-06-13,926.755795249051
BBDC4.SA,2024-06-14,935.0758025732697
BBDC4.SA,2024-06-17,944.035824545926
BBDC4.SA,2024-06-18,906.275814780301
BBDC4.SA,2024-06-19,910.1157806006134
BBDC4.SA,2024-06-20,908.1957976904572
BBDC4.SA,2024-06-21,907.5557830420197
BBDC4.SA,2024-06-24,910.1157806006134
BBDC4.SA,2024-06-25,903.7158172217072
BBDC4.SA,2024-06-26,905.6358001318634
BBDC4.SA,2024-06-27,908.8358123388947
BBDC4.SA,2024-06-28,906.275814780301
BBDC4.SA,2024-07-01,899.2358367529572
BBDC4.SA,2024-07-02,896.6757781592072
BBDC4.SA,2024-07-03,899.2358367529572
BBDC4.SA,2024-07-04,902.4357879248322
BBDC4.SA,2024-07-05,911.3958098974884
BBDC4.SA,2024-07-08,911.3958098974884
BBDC4.SA,2024-07-09,911.3958098974884
BBDC4.SA,2024-07-10,924.8358123388947
BBDC4.SA,2024-07-11,924.8358123388947
BBDC4.SA,2024-07-12,922.9158294287384
BBDC4.SA,2024-07-15,920.995785483426
BBDC4.SA,2024-07-16,923.5557830420197
BBDC4.SA,2024-07-17,938.3307636131377
BBDC4.SA,2024-07-18,922.9707782615752
BBDC4.SA,2024-07-19,918.490736757669
BBDC4.SA,2024-07-22,927.4507587303252
BBDC4.SA,2024-07-23,921.6907489647002
BBDC4.SA,2024-07-24,922.3307636131377
BBDC4.SA,2024-07-25,909.530775820169
BBDC4.SA,2024-07-26,915.9307391990752
BBDC4.SA,2024-07-29,919.1307514061065
BBDC4.SA,2024-07-30,912.730726992044
BBDC4.SA,2024-07-31,914.6507709373565
BBDC4.SA,2024-08-01,924.8907611717315
BBDC4.SA,2024-08-02,928.730726992044
BBDC4.SA,2024-08-05,1007.6225735420586
BBDC4.SA,2024-08-06,1036.4226223701835
BBDC4.SA,2024-08-07,1038.3426052803397
BBDC4.SA,2024-08-08,1048.5825955147147
BBDC4.SA,2024-08-09,1070.9826199287772
BBDC4.SA,2024-08-12,1077.3825833076835
BBDC4.SA,2024-08-13,1088.9026028389335
BBDC4.SA,2024-08-14,1097.2226101631522
BBDC4.SA,2024-08-15,1106.8225857490897
BBDC4.SA,2024-08-16,1007.6225735420586
BBDC4.SA,2024-08-19,1007.6225735420586
BBDC4.SA,2024-08-20,1007.6225735420586
BBDC4.SA,2024-08-21,1007.6225735420586
BBDC4.SA,2024-08-22,1007.6225735420586
BBDC4.SA,2024-08-23,1007.6225735420586
BBDC4.SA,2024-08-26,1007.6225735420586
BBDC4.SA,2024-08-27,1007.6225735420586
BBDC4.SA,2024-08-28,1007.6225735420586
BBDC4.SA,2024-08-29,1007.6225735420586
BBDC4.SA,2024-08-30,1007.6225735420586
BBDC4.SA,2024-09-02,1007.6225735420586
BBDC4.SA,2024-09-03,1007.6225735420586
BBDC4.SA,2024-09-04,1007.6225735420586
BBDC4.SA,2024-09-05,1007.6225735420586
BBDC4.SA,2024-09-06,1007.6225735420586
BBDC4.SA,2024-09-09,1007.6225735420586
BBDC4.SA,2024-09-10,1007.6225735420586
BBDC4.SA,2024-09-11,1007.6225735420586
BBDC4.SA,2024-09-12,1007.6225735420586
BBDC4.SA,2024-09-13,1007.6225735420586
BBDC4.SA,2024-09-16,1007.6225735420586
BBDC4.SA,2024-09-17,1016.5123755319294
BBDC4.SA,2024-09-18,1016.5123755319294
BBDC4.SA,2024-09-19,1016.5123755319294
BBDC4.SA,2024-09-20,978.8123804910358
BBDC4.SA,2024-09-23,954.1123730523761
BBDC4.SA,2024-09-24,952.812405286568
BBDC4.SA,2024-09-25,958.6623532159504
BBDC4.SA,2024-09-26,982.7124077661213
BBDC4.SA,2024-09-27,991.1623532159504
BBDC4.SA,2024-09-30,975.5623680932697
BBDC4.SA,2024-10-01,974.9123532159504
BBDC4.SA,2024-10-02,1008.0623680932697
BBDC4.SA,2024-10-03,997.6623780114826
BBDC4.SA,2024-10-04,998.9624077661213
BBDC4.SA,2024-10-07,1008.0623680932697
BBDC4.SA,2024-10-08,1009.3623978479084
BBDC4.SA,2024-10-09,989.8623854501423
BBDC4.SA,2024-10-10,995.0623804910358
BBDC4.SA,2024-10-11,982.0623928888019
BBDC4.SA,2024-10-14,996.3624102456745
BBDC4.SA,2024-10-15,1004.8123556955036
BBDC4.SA,2024-10-16,1001.562405286568
BBDC4.SA,2024-10-17,1008.0623680932697
BBDC4.SA,2024-10-18,1015.86236065461
BBDC4.SA,2024-10-21,1013.2623631341633
BBDC4.SA,2024-10-22,1006.7624003274616
BBDC4.SA,2024-10-23,1002.8623730523761
BBDC4.SA,2024-10-24,1004.8123556955036
BBDC4.SA,2024-10-25,990.5124003274616
BBDC4.SA,2024-10-28,1008.0623680932697
BBDC4.SA,2024-10-29,993.7623507363971
BBDC4.SA,2024-10-30,997.0123631341633
BBDC4.SA,2024-10-31,954.1123730523761
BBDC4.SA,2024-11-01,937.2123581750568
BBDC4.SA,2024-11-04,937.2123581750568
BBDC4.SA,2024-11-05,925.5124003274616
BBDC4.SA,2024-11-06,917.7124077661213
BBDC4.SA,2024-11-07,907.9623705728229
BBDC4.SA,2024-11-08,898.2123953683551
BBDC4.SA,2024-11-11,894.962382970589
BBDC4.SA,2024-11-12,890.4124028070148
BBDC4.SA,2024-11-13,896.2623507363971
BBDC4.SA,2024-11-14,899.5123631341633
BBDC4.SA,2024-11-18,911.8623978479084
BBDC4.SA,2024-11-19,918.36236065461
BBDC4.SA,2024-11-21,915.1124102456745
BBDC4.SA,2024-11-22,917.0623928888019
BBDC4.SA,2024-11-25,904.062405286568
BBDC4.SA,2024-11-26,909.9123532159504
BBDC4.SA,2024-11-27,885.86236065461
BBDC4.SA,2024-11-28,849.4623953683551
BBDC4.SA,2024-11-29,841.0123879296955
BBDC4.SA,2024-12-02,823.4623581750568
BBDC4.SA,2024-12-03,819.5623928888019
BBDC4.SA,2024-12-04,828.6623532159504
BBDC4.SA,2024-12-05,839.7123581750568
BBDC4.SA,2024-12-06,820.86236065461
BBDC4.SA,2024-12-09,815.6623656137165
BBDC4.SA,2024-12-10,831.2623507363971
BBDC4.SA,2024-12-11,845.5623680932697
BBDC4.SA,2024-12-12,816.9623953683551
BBDC4.SA,2024-12-13,806.562405286568
BBDC4.SA,2024-12-16,793.5623556955036
BBDC4.SA,2024-12-17,799.4123656137165
BBDC4.SA,2024-12-18,766.9123656137165
BBDC4.SA,2024-12-19,767.5623804910358
BBDC4.SA,2024-12-20,784.4623953683551
BBDC4.SA,2024-12-23,770.8123928888019
BBDC4.SA,2024-12-26,776.6624028070148
BBDC4.SA,2024-12-27,770.8123928888019
BBDC4.SA,2024-12-30,771.4624077661213
BBDC4.SA,2025-01-02,761.0623556955036
BBDC4.SA,2025-01-03,748.0623680932697
BBDC4.SA,2025-01-06,762.3623854501423
BBDC4.SA,2025-01-07,772.7623755319294
BBDC4.SA,2025-01-08,761.0623556955036
BBDC4.SA,2025-01-09,755.86236065461
BBDC4.SA,2025-01-10,746.7624003274616
BBDC4.SA,2025-01-13,749.3623978479084
BBDC4.SA,2025-01-14,763.0124003274616
BBDC4.SA,2025-01-15,789.0123755319294
BBDC4.SA,2025-01-16,782.5123507363971
BBDC4.SA,2025-01-17,773.4123904092487
BBDC4.SA,2025-01-20,776.0123879296955
BBDC4.SA,2025-01-21,776.6624028070148
BBDC4.SA,2025-01-22,766.2623507363971
