date,close,lower_band,upper_band,cash,stock_qty,equity,open_put,open_call
2023-06-13,28.860000610351562,24.232978196310746,30.066021780801073,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-06-14,30.100000381469727,24.18379735286873,30.495202738684007,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-06-15,29.389999389648438,24.348564602811717,30.70343544296465,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-06-16,29.639999389648438,24.51527049312668,30.919729545020296,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-06-19,30.420000076293945,24.672775659812537,31.227224340187462,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-06-20,30.56999969482422,24.91386248539256,31.48113740016652,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-06-21,31.850000381469727,24.959222600084722,31.995777323621333,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-06-22,31.450000762939453,25.07784671333254,32.35715332481443,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-06-23,30.15999984741211,25.367849929867447,32.438150016726794,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-06-26,30.84000015258789,25.612158586202767,32.597841451944205,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-06-27,30.600000381469727,25.934846879985304,32.666153142902886,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-06-28,30.889999389648438,26.373323004665096,32.677677018223086,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-06-29,31.030000686645508,26.973079627713716,32.56892037991568,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-06-30,29.530000686645508,27.410809615199636,32.38819055264704,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-07-03,30.079999923706055,27.8911630033678,32.197837126331905,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-07-04,30.149999618530273,28.37804133543548,31.978958824781802,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-07-05,30.110000610351562,28.76688768930029,31.796112608246098,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-07-06,29.649999618530273,28.917197039495548,31.723803135980525,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-07-07,29.5,28.833228161462525,31.729771945348997,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-07-10,29.549999237060547,28.75809878536215,31.678901298561186,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-07-11,29.149999618530273,28.821913416051625,31.644086568689584,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-07-12,29.170000076293945,28.701585061971155,31.671414892252475,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-07-13,29.6299991607666,28.735813293526867,31.661186637808584,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-07-14,29.049999237060547,28.64014499268111,31.697854923395553,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-07-17,28.989999771118164,28.490528700769254,31.70447118478983,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-07-18,28.829999923706055,28.328613918504512,31.692385989942753,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-07-19,29.100000381469727,28.37561384263575,31.370386065811516,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-07-20,29.1299991607666,28.414850546166374,31.099149202063604,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-07-21,29.68000030517578,28.40342672717185,31.0625730668345,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-07-24,30.299999237060547,28.447406771156928,30.964592931296686,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-07-25,31,28.400293819629567,31.051705844677073,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-07-26,31,28.385761507022313,31.077238218319483,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-07-27,29.389999389648438,28.4369737915166,30.862025804125487,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-07-28,29.760000228881836,28.448862662387878,30.873136887477845,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-07-31,31.110000610351562,28.354753211133357,31.070246407396915,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-08-01,30.600000381469727,28.334749493231385,31.135250201592832,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-08-02,30.530000686645508,28.321699601565776,31.19030010088784,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-08-03,30.920000076293945,28.299690580329933,31.339309167900044,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-08-04,30,28.33009559696426,31.358904151265723,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-08-07,30.190000534057617,28.361292918716483,31.391706959213206,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-08-08,30.219999313354492,28.445937545750336,31.414062301661776,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-08-09,30.459999084472656,28.536261198272815,31.452738549957164,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-08-10,30.6299991607666,28.571183970996252,31.51781577723373,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-08-11,30.559999465942383,28.704655261135457,31.535344509982707,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-08-14,30.639999389648438,28.870330484013273,31.53466924895792,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-08-15,30.860000610351562,29.10267710374384,31.505322697891902,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-08-16,31.540000915527344,29.24309791557631,31.608901939465195,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-08-17,31.440000534057617,29.438952058478236,31.644047933892367,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-08-18,31.520000457763672,29.526787648924415,31.740212358704976,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-08-21,31.299999237060547,29.55150533520308,31.815494672426315,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-08-22,30.610000610351562,29.541085559772128,31.786914508892423,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-08-23,32.2400016784668,29.414612335550633,32.037387900960596,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-08-24,32.189998626708984,29.557177442569294,32.174822717647984,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-08-25,31.969999313354492,29.68681345836876,32.26618661029579,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-08-28,32.33000183105469,29.619319438179502,32.45568075255536,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-08-29,32.400001525878906,29.607027474464314,32.647972830711474,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-08-30,32.619998931884766,29.606495331805526,32.85750479789418,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-08-31,31.940000534057617,29.635988927448278,32.9300112480278,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-09-01,32.630001068115234,29.778302968081693,33.0506973142059,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-09-04,32.290000915527344,29.942648348298015,33.09635197213655,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-09-05,33.369998931884766,30.023408501295915,33.33059178099169,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-09-06,33.52000045776367,30.09108073313502,33.56891968648168,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-09-08,33.400001525878906,30.193087097776726,33.7439135583512,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-09-11,33.369998931884766,30.357088231685246,33.860912371036925,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-09-12,33.529998779296875,30.533637039568745,33.97336350211826,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-09-13,33.029998779296875,30.736250401580065,33.98774995700148,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-09-14,33.869998931884766,30.773082558853627,34.18391760136366,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-09-15,33.88999938964844,30.859967634729863,34.34203241104651,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-09-18,34.130001068115234,30.943504088069954,34.51949601874157,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-09-19,34.209999084472656,31.105107966536924,34.64889212501581,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-09-20,34.290000915527344,31.51969070806585,34.602309414004466,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-09-21,33.7599983215332,31.615342024808978,34.658657761567966,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-09-22,34.029998779296875,31.72510037453248,34.732899427103256,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-09-25,34.25,31.89344776343996,34.792552106860335,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-09-26,33.459999084472656,32.026205477949794,34.77279411769229,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-09-27,34.52000045776367,32.12989139864894,34.88110809018163,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-09-28,34.45000076293945,32.22572183682795,34.96827783510809,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-09-29,34.63999938964844,32.51711555001921,34.9468840074759,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-10-02,34.119998931884766,32.69251080763242,34.92048853623966,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-10-03,33.970001220703125,33.01978731494404,34.76121205944561,1102.4277329033778,0,1102.4277329033778,FALSE,FALSE
2023-10-04,32.619998931884766,32.842472467480476,34.86352690690917,1128.378074061362,0,1128.378074061362,TRUE,FALSE
2023-10-05,32.72999954223633,32.69771632236709,34.92928296046983,1128.378074061362,0,1128.378074061362,TRUE,FALSE
2023-10-06,33.5099983215332,32.710361625972425,34.927637336429925,1128.378074061362,0,1128.378074061362,TRUE,FALSE
2023-10-09,34.95000076293945,32.706518848030974,35.08948029747683,1128.378074061362,0,1128.378074061362,TRUE,FALSE
2023-10-10,35.209999084472656,32.67487069839032,35.289128477635074,1128.378074061362,0,1128.378074061362,TRUE,FALSE
2023-10-11,35.119998931884766,32.76640402293578,35.406595168348396,1128.378074061362,0,1128.378074061362,TRUE,FALSE
2023-10-13,36.279998779296875,32.582966166345855,35.83103300967953,1128.378074061362,0,1128.378074061362,TRUE,FALSE
2023-10-16,36.68000030517578,32.40673362009832,36.28626564747981,1128.378074061362,0,1128.378074061362,TRUE,FALSE
2023-10-17,37.66999816894531,32.107484056350835,36.9395149213103,1128.378074061362,0,1128.378074061362,TRUE,FALSE
2023-10-18,38.52000045776367,31.76812141293371,37.70987770205653,1128.378074061362,0,1128.378074061362,TRUE,FALSE
2023-10-19,38.34000015258789,31.592587291070927,38.290411747625356,1128.378074061362,0,1128.378074061362,TRUE,FALSE
2023-10-20,37.849998474121094,31.616039708775865,38.675959345179216,1128.378074061362,0,1128.378074061362,FALSE,FALSE
2023-10-23,35.349998474121094,31.718802708431333,38.70519631500617,1128.378074061362,0,1128.378074061362,FALSE,FALSE
2023-10-24,35.880001068115234,31.81786847488535,38.769130655363675,1128.378074061362,0,1128.378074061362,FALSE,FALSE
2023-10-25,36.06999969482422,32.03871731326868,38.8092818780155,1128.378074061362,0,1128.378074061362,FALSE,FALSE
2023-10-26,35.70000076293945,32.12174916430186,38.84425005749989,1128.378074061362,0,1128.378074061362,FALSE,FALSE
2023-10-27,35.439998626708984,32.20456379256941,38.86043521560931,1128.378074061362,0,1128.378074061362,FALSE,FALSE
2023-10-30,35.08000183105469,32.2446870005734,38.864312251745936,1128.378074061362,0,1128.378074061362,FALSE,FALSE
2023-10-31,34.7400016784668,32.31867584484596,38.852323682131576,1128.378074061362,0,1128.378074061362,FALSE,FALSE
2023-11-01,35.119998931884766,32.45234381292955,38.833655485166155,1128.378074061362,0,1128.378074061362,FALSE,FALSE
2023-11-03,35.540000915527344,32.91333710644832,38.66466239001165,1128.378074061362,0,1128.378074061362,FALSE,FALSE
2023-11-06,35.5099983215332,33.41081403564353,38.44518533874612,1128.378074061362,0,1128.378074061362,FALSE,FALSE
2023-11-07,34.91999816894531,33.68544760493134,38.31155175419951,1128.378074061362,0,1128.378074061362,FALSE,FALSE
2023-11-08,34.16999816894531,33.55264695389365,38.3663521458378,1128.378074061362,0,1128.378074061362,FALSE,FALSE
2023-11-09,34.880001068115234,33.51142328036745,38.374576017728245,1128.378074061362,0,1128.378074061362,FALSE,FALSE
2023-11-10,34.720001220703125,33.45832074785773,38.38767877911981,1128.378074061362,0,1128.378074061362,FALSE,FALSE
2023-11-13,35.689998626708984,33.43249794871213,38.354501563006615,1128.378074061362,0,1128.378074061362,FALSE,FALSE
2023-11-14,36.18000030517578,33.42990799319824,38.30709151852051,1128.378074061362,0,1128.378074061362,FALSE,FALSE
2023-11-16,35.54999923706055,33.46619951535069,38.058800103179586,1128.378074061362,0,1128.378074061362,FALSE,FALSE
2023-11-17,36.709999084472656,33.69740535183913,37.646594129362036,1128.378074061362,0,1128.378074061362,FALSE,FALSE
2023-11-20,36.7400016784668,33.9555697276024,37.228429906186655,1128.378074061362,0,1128.378074061362,FALSE,FALSE
2023-11-21,36.36000061035156,34.19312990088653,36.84186994652558,1128.378074061362,0,1128.378074061362,FALSE,FALSE
2023-11-22,35.15999984741211,34.17625494306541,36.839745041675805,1128.378074061362,0,1128.378074061362,FALSE,FALSE
2023-11-23,35.16999816894531,34.14446523881287,36.80053445601135,1128.378074061362,0,1128.378074061362,FALSE,FALSE
2023-11-24,35.27000045776367,34.130933167763004,36.73406660335516,1128.378074061362,0,1128.378074061362,FALSE,FALSE
2023-11-27,35.06999969482422,34.096363161967744,36.70563650233889,1128.378074061362,0,1128.378074061362,FALSE,FALSE
2023-11-28,35.599998474121094,34.10154552230651,36.71645412674134,1128.378074061362,0,1128.378074061362,FALSE,FALSE
2023-11-29,35.22999954223633,34.114972897634,36.71802652253202,1128.378074061362,0,1128.378074061362,FALSE,FALSE
2023-11-30,35.90999984741211,34.19536621551089,36.754633021549665,1128.378074061362,0,1128.378074061362,FALSE,FALSE
2023-12-01,35.66999816894531,34.23095074374967,36.77404841701693,1128.378074061362,0,1128.378074061362,FALSE,FALSE
2023-12-04,34.90999984741211,34.17377273602202,36.76822631793305,1128.378074061362,0,1128.378074061362,FALSE,FALSE
2023-12-05,34.75,34.09857641900469,36.76742280279707,1128.378074061362,0,1128.378074061362,FALSE,FALSE
2023-12-06,33.5,33.79509679852777,36.92890260637946,1150.5171239798544,0,1150.5171239798544,TRUE,FALSE
2023-12-07,33.41999816894531,33.61579839140369,37.033201013503536,1150.5171239798544,0,1150.5171239798544,TRUE,FALSE
2023-12-08,34.4900016784668,33.56778910717871,37.04221035876367,1150.5171239798544,0,1150.5171239798544,TRUE,FALSE
2023-12-11,34.36000061035156,33.518733667477264,37.05526573742996,1150.5171239798544,0,1150.5171239798544,TRUE,FALSE
2023-12-12,34.08000183105469,33.37354295664367,37.03945676869812,1150.5171239798544,0,1150.5171239798544,TRUE,FALSE
2023-12-13,34.56999969482422,33.33008895738199,36.92191070692465,1150.5171239798544,0,1150.5171239798544,TRUE,FALSE
2023-12-14,35.31999969482422,33.326669056979625,36.90233065310338,1150.5171239798544,0,1150.5171239798544,TRUE,FALSE
2023-12-15,35.400001525878906,33.40998908359999,36.68801087062365,1150.5171239798544,0,1150.5171239798544,FALSE,FALSE
2023-12-18,35.84000015258789,33.51018077310925,36.4978190285265,1150.5171239798544,0,1150.5171239798544,FALSE,FALSE
